STATE/UT,Region,Oil_type,Year,Production
TELANGANA,REGION - SOUTH,MS/Petrol,2013,0
CHANDIGARH,REGION - NORTH,HSD/Diesel,2013,70.65172
DELHI,REGION - NORTH,HSD/Diesel,2013,1129.19336
HARYANA,REGION - NORTH,HSD/Diesel,2013,5004.18616
HIMACHAL PRADESH,REGION - NORTH,HSD/Diesel,2013,512.24423
JAMMU & KASHMIR,REGION - NORTH,HSD/Diesel,2013,589.00067
LADAKH,REGION - NORTH,HSD/Diesel,2013,
PUNJAB,REGION - NORTH,HSD/Diesel,2013,3213.14626
RAJASTHAN,REGION - NORTH,HSD/Diesel,2013,4863.80057
UTTAR PRADESH,REGION - NORTH,HSD/Diesel,2013,6255.8854
UTTARAKHAND,REGION - NORTH,HSD/Diesel,2013,635.48464
ARUNACHAL PRADESH,REGION - NORTH EAST,HSD/Diesel,2013,104.8964
ASSAM,REGION - NORTH EAST,HSD/Diesel,2013,762.29626
MANIPUR,REGION - NORTH EAST,HSD/Diesel,2013,75.62563
MEGHALAYA,REGION - NORTH EAST,HSD/Diesel,2013,345.89623
MIZORAM,REGION - NORTH EAST,HSD/Diesel,2013,52.60323
NAGALAND,REGION - NORTH EAST,HSD/Diesel,2013,56.91742
SIKKIM,REGION - NORTH EAST,HSD/Diesel,2013,56.68272
TRIPURA,REGION - NORTH EAST,HSD/Diesel,2013,79.88144
ANDAMAN & NICOBAR,REGION - EAST,HSD/Diesel,2013,115.68473
BIHAR,REGION - EAST,HSD/Diesel,2013,2023.90587
JHARKHAND,REGION - EAST,HSD/Diesel,2013,1460.58679
ODISHA,REGION - EAST,HSD/Diesel,2013,1989.75651
WEST BENGAL,REGION - EAST,HSD/Diesel,2013,2637.02633
CHHATTISGARH,REGION - WEST,HSD/Diesel,2013,1236.53405
DADRA & NAGAR HAVELI AND DAMAN & DIU,REGION - WEST,HSD/Diesel,2013,177.41029
GOA,REGION - WEST,HSD/Diesel,2013,264.14342
GUJARAT,REGION - WEST,HSD/Diesel,2013,4318.84715
MADHYA PRADESH,REGION - WEST,HSD/Diesel,2013,2914.3988
MAHARASHTRA,REGION - WEST,HSD/Diesel,2013,7346.5263
ANDHRA PRADESH,REGION - SOUTH,HSD/Diesel,2013,6297.70643
KARNATAKA,REGION - SOUTH,HSD/Diesel,2013,4733.28059
KERALA,REGION - SOUTH,HSD/Diesel,2013,2465.81079
LAKSHADWEEP,REGION - SOUTH,HSD/Diesel,2013,12.15755
PUDUCHERRY,REGION - SOUTH,HSD/Diesel,2013,289.83772
TAMIL NADU,REGION - SOUTH,HSD/Diesel,2013,6195.27005
TELANGANA,REGION - SOUTH,HSD/Diesel,2013,0
CHANDIGARH,REGION - NORTH,MS/Petrol,2014,85.15599
DELHI,REGION - NORTH,MS/Petrol,2014,831.2751
HARYANA,REGION - NORTH,MS/Petrol,2014,723.56252
HIMACHAL PRADESH,REGION - NORTH,MS/Petrol,2014,137.41164
JAMMU & KASHMIR,REGION - NORTH,MS/Petrol,2014,170.76711
LADAKH,REGION - NORTH,MS/Petrol,2014,0
PUNJAB,REGION - NORTH,MS/Petrol,2014,662.73184
RAJASTHAN,REGION - NORTH,MS/Petrol,2014,1024.76014
UTTAR PRADESH,REGION - NORTH,MS/Petrol,2014,1816.21222
UTTARAKHAND,REGION - NORTH,MS/Petrol,2014,215.88882
ARUNACHAL PRADESH,REGION - NORTH EAST,MS/Petrol,2014,27.91183
ASSAM,REGION - NORTH EAST,MS/Petrol,2014,219.54497
MANIPUR,REGION - NORTH EAST,MS/Petrol,2014,41.38269
MEGHALAYA,REGION - NORTH EAST,MS/Petrol,2014,59.14724
MIZORAM,REGION - NORTH EAST,MS/Petrol,2014,22.60105
NAGALAND,REGION - NORTH EAST,MS/Petrol,2014,24.7797
SIKKIM,REGION - NORTH EAST,MS/Petrol,2014,14.66375
TRIPURA,REGION - NORTH EAST,MS/Petrol,2014,32.62261
ANDAMAN & NICOBAR,REGION - EAST,MS/Petrol,2014,12.39227
BIHAR,REGION - EAST,MS/Petrol,2014,432.31918
JHARKHAND,REGION - EAST,MS/Petrol,2014,302.54656
ODISHA,REGION - EAST,MS/Petrol,2014,472.1265
WEST BENGAL,REGION - EAST,MS/Petrol,2014,554.54435
CHHATTISGARH,REGION - WEST,MS/Petrol,2014,357.35343
DADRA & NAGAR HAVELI AND DAMAN & DIU,REGION - WEST,MS/Petrol,2014,30.93418
GOA,REGION - WEST,MS/Petrol,2014,141.0996
GUJARAT,REGION - WEST,MS/Petrol,2014,1339.05384
MADHYA PRADESH,REGION - WEST,MS/Petrol,2014,897.65615
MAHARASHTRA,REGION - WEST,MS/Petrol,2014,2483.1836
ANDHRA PRADESH,REGION - SOUTH,MS/Petrol,2014,794.969
KARNATAKA,REGION - SOUTH,MS/Petrol,2014,1430.53907
KERALA,REGION - SOUTH,MS/Petrol,2014,1009.42209
LAKSHADWEEP,REGION - SOUTH,MS/Petrol,2014,0
PUDUCHERRY,REGION - SOUTH,MS/Petrol,2014,100.92336
TAMIL NADU,REGION - SOUTH,MS/Petrol,2014,1848.92831
TELANGANA,REGION - SOUTH,MS/Petrol,2014,756.99173
CHANDIGARH,REGION - NORTH,HSD/Diesel,2014,82.62995
DELHI,REGION - NORTH,HSD/Diesel,2014,1268.81146
HARYANA,REGION - NORTH,HSD/Diesel,2014,5028.56717
HIMACHAL PRADESH,REGION - NORTH,HSD/Diesel,2014,520.83112
JAMMU & KASHMIR,REGION - NORTH,HSD/Diesel,2014,563.02633
LADAKH,REGION - NORTH,HSD/Diesel,2014,
PUNJAB,REGION - NORTH,HSD/Diesel,2014,3216.34486
RAJASTHAN,REGION - NORTH,HSD/Diesel,2014,5038.45271
UTTAR PRADESH,REGION - NORTH,HSD/Diesel,2014,6420.24417
UTTARAKHAND,REGION - NORTH,HSD/Diesel,2014,660.45964
ARUNACHAL PRADESH,REGION - NORTH EAST,HSD/Diesel,2014,108.96244
ASSAM,REGION - NORTH EAST,HSD/Diesel,2014,777.17711
MANIPUR,REGION - NORTH EAST,HSD/Diesel,2014,83.44218
MEGHALAYA,REGION - NORTH EAST,HSD/Diesel,2014,301.67
MIZORAM,REGION - NORTH EAST,HSD/Diesel,2014,53.7897
NAGALAND,REGION - NORTH EAST,HSD/Diesel,2014,56.55261
SIKKIM,REGION - NORTH EAST,HSD/Diesel,2014,53.60742
TRIPURA,REGION - NORTH EAST,HSD/Diesel,2014,81.97443
ANDAMAN & NICOBAR,REGION - EAST,HSD/Diesel,2014,119.76614
BIHAR,REGION - EAST,HSD/Diesel,2014,1980.59738
JHARKHAND,REGION - EAST,HSD/Diesel,2014,1554.48958
ODISHA,REGION - EAST,HSD/Diesel,2014,1942.52002
WEST BENGAL,REGION - EAST,HSD/Diesel,2014,2640.10075
CHHATTISGARH,REGION - WEST,HSD/Diesel,2014,1301.87665
DADRA & NAGAR HAVELI AND DAMAN & DIU,REGION - WEST,HSD/Diesel,2014,203.30895
GOA,REGION - WEST,HSD/Diesel,2014,282.95043
GUJARAT,REGION - WEST,HSD/Diesel,2014,4591.49296
MADHYA PRADESH,REGION - WEST,HSD/Diesel,2014,2965.65684
MAHARASHTRA,REGION - WEST,HSD/Diesel,2014,7301.54536
ANDHRA PRADESH,REGION - SOUTH,HSD/Diesel,2014,3649.7744
KARNATAKA,REGION - SOUTH,HSD/Diesel,2014,5056.4305
KERALA,REGION - SOUTH,HSD/Diesel,2014,2498.20059
LAKSHADWEEP,REGION - SOUTH,HSD/Diesel,2014,13.61764
PUDUCHERRY,REGION - SOUTH,HSD/Diesel,2014,283.88296
TAMIL NADU,REGION - SOUTH,HSD/Diesel,2014,5962.01496
TELANGANA,REGION - SOUTH,HSD/Diesel,2014,2668.05271
CHANDIGARH,REGION - NORTH,MS/Petrol,2015,100.68053
DELHI,REGION - NORTH,MS/Petrol,2015,901.54912
HARYANA,REGION - NORTH,MS/Petrol,2015,782.76419
HIMACHAL PRADESH,REGION - NORTH,MS/Petrol,2015,162.92659
JAMMU & KASHMIR,REGION - NORTH,MS/Petrol,2015,199.61356
LADAKH,REGION - NORTH,MS/Petrol,2015,0
PUNJAB,REGION - NORTH,MS/Petrol,2015,745.26789
RAJASTHAN,REGION - NORTH,MS/Petrol,2015,1183.47041
UTTAR PRADESH,REGION - NORTH,MS/Petrol,2015,2164.37193
UTTARAKHAND,REGION - NORTH,MS/Petrol,2015,252.86037
ARUNACHAL PRADESH,REGION - NORTH EAST,MS/Petrol,2015,31.42116
ASSAM,REGION - NORTH EAST,MS/Petrol,2015,267.44601
MANIPUR,REGION - NORTH EAST,MS/Petrol,2015,43.50707
MEGHALAYA,REGION - NORTH EAST,MS/Petrol,2015,65.28823
MIZORAM,REGION - NORTH EAST,MS/Petrol,2015,23.64669
NAGALAND,REGION - NORTH EAST,MS/Petrol,2015,26.26261
SIKKIM,REGION - NORTH EAST,MS/Petrol,2015,16.06574
TRIPURA,REGION - NORTH EAST,MS/Petrol,2015,37.91106
ANDAMAN & NICOBAR,REGION - EAST,MS/Petrol,2015,13.98575
BIHAR,REGION - EAST,MS/Petrol,2015,545.37231
JHARKHAND,REGION - EAST,MS/Petrol,2015,349.39635
ODISHA,REGION - EAST,MS/Petrol,2015,553.80514
WEST BENGAL,REGION - EAST,MS/Petrol,2015,654.60341
CHHATTISGARH,REGION - WEST,MS/Petrol,2015,418.18479
DADRA & NAGAR HAVELI AND DAMAN & DIU,REGION - WEST,MS/Petrol,2015,35.40978
GOA,REGION - WEST,MS/Petrol,2015,151.27522
GUJARAT,REGION - WEST,MS/Petrol,2015,1525.99504
MADHYA PRADESH,REGION - WEST,MS/Petrol,2015,1037.72681
MAHARASHTRA,REGION - WEST,MS/Petrol,2015,2836.54659
ANDHRA PRADESH,REGION - SOUTH,MS/Petrol,2015,844.94104
KARNATAKA,REGION - SOUTH,MS/Petrol,2015,1663.99995
KERALA,REGION - SOUTH,MS/Petrol,2015,1129.76173
LAKSHADWEEP,REGION - SOUTH,MS/Petrol,2015,0
PUDUCHERRY,REGION - SOUTH,MS/Petrol,2015,113.07627
TAMIL NADU,REGION - SOUTH,MS/Petrol,2015,2052.04942
TELANGANA,REGION - SOUTH,MS/Petrol,2015,915.44814
CHANDIGARH,REGION - NORTH,HSD/Diesel,2015,114.69132
DELHI,REGION - NORTH,HSD/Diesel,2015,1508.28252
HARYANA,REGION - NORTH,HSD/Diesel,2015,5013.92072
HIMACHAL PRADESH,REGION - NORTH,HSD/Diesel,2015,575.66008
JAMMU & KASHMIR,REGION - NORTH,HSD/Diesel,2015,635.41415
LADAKH,REGION - NORTH,HSD/Diesel,2015,
PUNJAB,REGION - NORTH,HSD/Diesel,2015,3302.233
RAJASTHAN,REGION - NORTH,HSD/Diesel,2015,5315.93373
UTTAR PRADESH,REGION - NORTH,HSD/Diesel,2015,7098.40787
UTTARAKHAND,REGION - NORTH,HSD/Diesel,2015,746.73175
ARUNACHAL PRADESH,REGION - NORTH EAST,HSD/Diesel,2015,118.48612
ASSAM,REGION - NORTH EAST,HSD/Diesel,2015,851.70413
MANIPUR,REGION - NORTH EAST,HSD/Diesel,2015,87.82157
MEGHALAYA,REGION - NORTH EAST,HSD/Diesel,2015,294.53097
MIZORAM,REGION - NORTH EAST,HSD/Diesel,2015,57.13555
NAGALAND,REGION - NORTH EAST,HSD/Diesel,2015,59.39605
SIKKIM,REGION - NORTH EAST,HSD/Diesel,2015,57.51272
TRIPURA,REGION - NORTH EAST,HSD/Diesel,2015,92.97281
ANDAMAN & NICOBAR,REGION - EAST,HSD/Diesel,2015,124.31575
BIHAR,REGION - EAST,HSD/Diesel,2015,2254.83294
JHARKHAND,REGION - EAST,HSD/Diesel,2015,1602.1899
ODISHA,REGION - EAST,HSD/Diesel,2015,2231.64479
WEST BENGAL,REGION - EAST,HSD/Diesel,2015,2955.38487
CHHATTISGARH,REGION - WEST,HSD/Diesel,2015,1461.37337
DADRA & NAGAR HAVELI AND DAMAN & DIU,REGION - WEST,HSD/Diesel,2015,232.14222
GOA,REGION - WEST,HSD/Diesel,2015,308.81245
GUJARAT,REGION - WEST,HSD/Diesel,2015,5076.8835
MADHYA PRADESH,REGION - WEST,HSD/Diesel,2015,3282.99746
MAHARASHTRA,REGION - WEST,HSD/Diesel,2015,7814.07705
ANDHRA PRADESH,REGION - SOUTH,HSD/Diesel,2015,3298.26845
KARNATAKA,REGION - SOUTH,HSD/Diesel,2015,5747.25797
KERALA,REGION - SOUTH,HSD/Diesel,2015,2536.93939
LAKSHADWEEP,REGION - SOUTH,HSD/Diesel,2015,13.80167
PUDUCHERRY,REGION - SOUTH,HSD/Diesel,2015,330.35554
TAMIL NADU,REGION - SOUTH,HSD/Diesel,2015,6312.05126
TELANGANA,REGION - SOUTH,HSD/Diesel,2015,3077.51337
CHANDIGARH,REGION - NORTH,MS/Petrol,2016,96.88964
DELHI,REGION - NORTH,MS/Petrol,2016,906.10503
HARYANA,REGION - NORTH,MS/Petrol,2016,873.2539
HIMACHAL PRADESH,REGION - NORTH,MS/Petrol,2016,183.07031
JAMMU & KASHMIR,REGION - NORTH,MS/Petrol,2016,209.64699
LADAKH,REGION - NORTH,MS/Petrol,2016,0
PUNJAB,REGION - NORTH,MS/Petrol,2016,805.92931
RAJASTHAN,REGION - NORTH,MS/Petrol,2016,1298.28223
UTTAR PRADESH,REGION - NORTH,MS/Petrol,2016,2423.42547
UTTARAKHAND,REGION - NORTH,MS/Petrol,2016,263.78349
ARUNACHAL PRADESH,REGION - NORTH EAST,MS/Petrol,2016,35.4085
ASSAM,REGION - NORTH EAST,MS/Petrol,2016,307.82388
MANIPUR,REGION - NORTH EAST,MS/Petrol,2016,41.83602
MEGHALAYA,REGION - NORTH EAST,MS/Petrol,2016,72.98253
MIZORAM,REGION - NORTH EAST,MS/Petrol,2016,24.93205
NAGALAND,REGION - NORTH EAST,MS/Petrol,2016,34.41884
SIKKIM,REGION - NORTH EAST,MS/Petrol,2016,16.52543
TRIPURA,REGION - NORTH EAST,MS/Petrol,2016,41.48872
ANDAMAN & NICOBAR,REGION - EAST,MS/Petrol,2016,15.09866
BIHAR,REGION - EAST,MS/Petrol,2016,610.13953
JHARKHAND,REGION - EAST,MS/Petrol,2016,375.10185
ODISHA,REGION - EAST,MS/Petrol,2016,614.88694
WEST BENGAL,REGION - EAST,MS/Petrol,2016,725.49951
CHHATTISGARH,REGION - WEST,MS/Petrol,2016,452.81372
DADRA & NAGAR HAVELI AND DAMAN & DIU,REGION - WEST,MS/Petrol,2016,40.17783
GOA,REGION - WEST,MS/Petrol,2016,162.17397
GUJARAT,REGION - WEST,MS/Petrol,2016,1665.59949
MADHYA PRADESH,REGION - WEST,MS/Petrol,2016,1109.4861
MAHARASHTRA,REGION - WEST,MS/Petrol,2016,3024.9802
ANDHRA PRADESH,REGION - SOUTH,MS/Petrol,2016,944.51995
KARNATAKA,REGION - SOUTH,MS/Petrol,2016,1799.08972
KERALA,REGION - SOUTH,MS/Petrol,2016,1238.01571
LAKSHADWEEP,REGION - SOUTH,MS/Petrol,2016,0
PUDUCHERRY,REGION - SOUTH,MS/Petrol,2016,120.08894
TAMIL NADU,REGION - SOUTH,MS/Petrol,2016,2254.67961
TELANGANA,REGION - SOUTH,MS/Petrol,2016,976.77996
CHANDIGARH,REGION - NORTH,HSD/Diesel,2016,102.07113
DELHI,REGION - NORTH,HSD/Diesel,2016,1267.47332
HARYANA,REGION - NORTH,HSD/Diesel,2016,4952.32139
HIMACHAL PRADESH,REGION - NORTH,HSD/Diesel,2016,586.11294
JAMMU & KASHMIR,REGION - NORTH,HSD/Diesel,2016,585.23116
LADAKH,REGION - NORTH,HSD/Diesel,2016,
PUNJAB,REGION - NORTH,HSD/Diesel,2016,3348.47825
RAJASTHAN,REGION - NORTH,HSD/Diesel,2016,5211.5081
UTTAR PRADESH,REGION - NORTH,HSD/Diesel,2016,7705.65675
UTTARAKHAND,REGION - NORTH,HSD/Diesel,2016,721.79951
ARUNACHAL PRADESH,REGION - NORTH EAST,HSD/Diesel,2016,132.38678
ASSAM,REGION - NORTH EAST,HSD/Diesel,2016,860.72102
MANIPUR,REGION - NORTH EAST,HSD/Diesel,2016,80.12698
MEGHALAYA,REGION - NORTH EAST,HSD/Diesel,2016,299.15416
MIZORAM,REGION - NORTH EAST,HSD/Diesel,2016,61.46929
NAGALAND,REGION - NORTH EAST,HSD/Diesel,2016,64.33621
SIKKIM,REGION - NORTH EAST,HSD/Diesel,2016,60.7321
TRIPURA,REGION - NORTH EAST,HSD/Diesel,2016,90.46493
ANDAMAN & NICOBAR,REGION - EAST,HSD/Diesel,2016,126.69431
BIHAR,REGION - EAST,HSD/Diesel,2016,2183.99865
JHARKHAND,REGION - EAST,HSD/Diesel,2016,1633.165
ODISHA,REGION - EAST,HSD/Diesel,2016,2331.10182
WEST BENGAL,REGION - EAST,HSD/Diesel,2016,3096.06514
CHHATTISGARH,REGION - WEST,HSD/Diesel,2016,1494.92919
DADRA & NAGAR HAVELI AND DAMAN & DIU,REGION - WEST,HSD/Diesel,2016,309.1439
GOA,REGION - WEST,HSD/Diesel,2016,343.82586
GUJARAT,REGION - WEST,HSD/Diesel,2016,4994.16254
MADHYA PRADESH,REGION - WEST,HSD/Diesel,2016,3211.89772
MAHARASHTRA,REGION - WEST,HSD/Diesel,2016,8071.34525
ANDHRA PRADESH,REGION - SOUTH,HSD/Diesel,2016,3467.36474
KARNATAKA,REGION - SOUTH,HSD/Diesel,2016,5936.90337
KERALA,REGION - SOUTH,HSD/Diesel,2016,2536.6644
LAKSHADWEEP,REGION - SOUTH,HSD/Diesel,2016,12.60317
PUDUCHERRY,REGION - SOUTH,HSD/Diesel,2016,337.52815
TAMIL NADU,REGION - SOUTH,HSD/Diesel,2016,6468.1742
TELANGANA,REGION - SOUTH,HSD/Diesel,2016,3294.70183
CHANDIGARH,REGION - NORTH,MS/Petrol,2017,104.56856
DELHI,REGION - NORTH,MS/Petrol,2017,926.68907
HARYANA,REGION - NORTH,MS/Petrol,2017,937.9204
HIMACHAL PRADESH,REGION - NORTH,MS/Petrol,2017,207.88905
JAMMU & KASHMIR,REGION - NORTH,MS/Petrol,2017,249.25366
LADAKH,REGION - NORTH,MS/Petrol,2017,0
PUNJAB,REGION - NORTH,MS/Petrol,2017,847.34609
RAJASTHAN,REGION - NORTH,MS/Petrol,2017,1440.32559
UTTAR PRADESH,REGION - NORTH,MS/Petrol,2017,2759.51413
UTTARAKHAND,REGION - NORTH,MS/Petrol,2017,286.89453
ARUNACHAL PRADESH,REGION - NORTH EAST,MS/Petrol,2017,39.87554
ASSAM,REGION - NORTH EAST,MS/Petrol,2017,356.74788
MANIPUR,REGION - NORTH EAST,MS/Petrol,2017,54.02822
MEGHALAYA,REGION - NORTH EAST,MS/Petrol,2017,85.49161
MIZORAM,REGION - NORTH EAST,MS/Petrol,2017,25.36393
NAGALAND,REGION - NORTH EAST,MS/Petrol,2017,37.33632
SIKKIM,REGION - NORTH EAST,MS/Petrol,2017,17.52504
TRIPURA,REGION - NORTH EAST,MS/Petrol,2017,47.56483
ANDAMAN & NICOBAR,REGION - EAST,MS/Petrol,2017,16.84998
BIHAR,REGION - EAST,MS/Petrol,2017,697.03207
JHARKHAND,REGION - EAST,MS/Petrol,2017,425.19134
ODISHA,REGION - EAST,MS/Petrol,2017,703.77313
WEST BENGAL,REGION - EAST,MS/Petrol,2017,812.09096
CHHATTISGARH,REGION - WEST,MS/Petrol,2017,517.82576
DADRA & NAGAR HAVELI AND DAMAN & DIU,REGION - WEST,MS/Petrol,2017,42.86076
GOA,REGION - WEST,MS/Petrol,2017,174.56231
GUJARAT,REGION - WEST,MS/Petrol,2017,1817.23361
MADHYA PRADESH,REGION - WEST,MS/Petrol,2017,1257.39214
MAHARASHTRA,REGION - WEST,MS/Petrol,2017,3225.57428
ANDHRA PRADESH,REGION - SOUTH,MS/Petrol,2017,1061.75178
KARNATAKA,REGION - SOUTH,MS/Petrol,2017,1974.27285
KERALA,REGION - SOUTH,MS/Petrol,2017,1380.85768
LAKSHADWEEP,REGION - SOUTH,MS/Petrol,2017,0
PUDUCHERRY,REGION - SOUTH,MS/Petrol,2017,129.88503
TAMIL NADU,REGION - SOUTH,MS/Petrol,2017,2420.69167
TELANGANA,REGION - SOUTH,MS/Petrol,2017,1092.29856
CHANDIGARH,REGION - NORTH,HSD/Diesel,2017,130.13419
DELHI,REGION - NORTH,HSD/Diesel,2017,1193.77779
HARYANA,REGION - NORTH,HSD/Diesel,2017,5146.60781
HIMACHAL PRADESH,REGION - NORTH,HSD/Diesel,2017,616.23736
JAMMU & KASHMIR,REGION - NORTH,HSD/Diesel,2017,684.52827
LADAKH,REGION - NORTH,HSD/Diesel,2017,
PUNJAB,REGION - NORTH,HSD/Diesel,2017,3362.52866
RAJASTHAN,REGION - NORTH,HSD/Diesel,2017,5477.1401
UTTAR PRADESH,REGION - NORTH,HSD/Diesel,2017,8608.04154
UTTARAKHAND,REGION - NORTH,HSD/Diesel,2017,713.07123
ARUNACHAL PRADESH,REGION - NORTH EAST,HSD/Diesel,2017,146.43588
ASSAM,REGION - NORTH EAST,HSD/Diesel,2017,925.58656
MANIPUR,REGION - NORTH EAST,HSD/Diesel,2017,102.52292
MEGHALAYA,REGION - NORTH EAST,HSD/Diesel,2017,326.10916
MIZORAM,REGION - NORTH EAST,HSD/Diesel,2017,67.59762
NAGALAND,REGION - NORTH EAST,HSD/Diesel,2017,69.77152
SIKKIM,REGION - NORTH EAST,HSD/Diesel,2017,69.04701
TRIPURA,REGION - NORTH EAST,HSD/Diesel,2017,99.58554
ANDAMAN & NICOBAR,REGION - EAST,HSD/Diesel,2017,139.96747
BIHAR,REGION - EAST,HSD/Diesel,2017,2278.40882
JHARKHAND,REGION - EAST,HSD/Diesel,2017,1766.07343
ODISHA,REGION - EAST,HSD/Diesel,2017,2506.00476
WEST BENGAL,REGION - EAST,HSD/Diesel,2017,3390.55527
CHHATTISGARH,REGION - WEST,HSD/Diesel,2017,1649.46001
DADRA & NAGAR HAVELI AND DAMAN & DIU,REGION - WEST,HSD/Diesel,2017,311.98357
GOA,REGION - WEST,HSD/Diesel,2017,328.87336
GUJARAT,REGION - WEST,HSD/Diesel,2017,5277.78198
MADHYA PRADESH,REGION - WEST,HSD/Diesel,2017,3562.13771
MAHARASHTRA,REGION - WEST,HSD/Diesel,2017,8671.90188
ANDHRA PRADESH,REGION - SOUTH,HSD/Diesel,2017,3663.50571
KARNATAKA,REGION - SOUTH,HSD/Diesel,2017,6610.33119
KERALA,REGION - SOUTH,HSD/Diesel,2017,2608.72838
LAKSHADWEEP,REGION - SOUTH,HSD/Diesel,2017,13.45454
PUDUCHERRY,REGION - SOUTH,HSD/Diesel,2017,332.67266
TAMIL NADU,REGION - SOUTH,HSD/Diesel,2017,6448.10696
TELANGANA,REGION - SOUTH,HSD/Diesel,2017,3684.5476
CHANDIGARH,REGION - NORTH,MS/Petrol,2018,122.6482811
DELHI,REGION - NORTH,MS/Petrol,2018,903.1135867
HARYANA,REGION - NORTH,MS/Petrol,2018,978.4594404
HIMACHAL PRADESH,REGION - NORTH,MS/Petrol,2018,224.6304593
JAMMU & KASHMIR,REGION - NORTH,MS/Petrol,2018,274.6975228
LADAKH,REGION - NORTH,MS/Petrol,2018,0
PUNJAB,REGION - NORTH,MS/Petrol,2018,879.2036285
RAJASTHAN,REGION - NORTH,MS/Petrol,2018,1550.675664
UTTAR PRADESH,REGION - NORTH,MS/Petrol,2018,3119.222726
UTTARAKHAND,REGION - NORTH,MS/Petrol,2018,309.238548
ARUNACHAL PRADESH,REGION - NORTH EAST,MS/Petrol,2018,46.15017137
ASSAM,REGION - NORTH EAST,MS/Petrol,2018,411.6324804
MANIPUR,REGION - NORTH EAST,MS/Petrol,2018,61.21305799
MEGHALAYA,REGION - NORTH EAST,MS/Petrol,2018,93.6749782
MIZORAM,REGION - NORTH EAST,MS/Petrol,2018,28.20440768
NAGALAND,REGION - NORTH EAST,MS/Petrol,2018,36.75238962
SIKKIM,REGION - NORTH EAST,MS/Petrol,2018,19.69522509
TRIPURA,REGION - NORTH EAST,MS/Petrol,2018,54.14570909
ANDAMAN & NICOBAR,REGION - EAST,MS/Petrol,2018,18.059522
BIHAR,REGION - EAST,MS/Petrol,2018,793.0028137
JHARKHAND,REGION - EAST,MS/Petrol,2018,487.0346237
ODISHA,REGION - EAST,MS/Petrol,2018,775.8954109
WEST BENGAL,REGION - EAST,MS/Petrol,2018,904.1281477
CHHATTISGARH,REGION - WEST,MS/Petrol,2018,559.6411143
DADRA & NAGAR HAVELI AND DAMAN & DIU,REGION - WEST,MS/Petrol,2018,42.75307551
GOA,REGION - WEST,MS/Petrol,2018,183.5581439
GUJARAT,REGION - WEST,MS/Petrol,2018,1976.003381
MADHYA PRADESH,REGION - WEST,MS/Petrol,2018,1372.128828
MAHARASHTRA,REGION - WEST,MS/Petrol,2018,3358.064543
ANDHRA PRADESH,REGION - SOUTH,MS/Petrol,2018,1161.894375
KARNATAKA,REGION - SOUTH,MS/Petrol,2018,2142.739187
KERALA,REGION - SOUTH,MS/Petrol,2018,1462.569637
LAKSHADWEEP,REGION - SOUTH,MS/Petrol,2018,0
PUDUCHERRY,REGION - SOUTH,MS/Petrol,2018,132.851037
TAMIL NADU,REGION - SOUTH,MS/Petrol,2018,2601.951708
TELANGANA,REGION - SOUTH,MS/Petrol,2018,1198.780155
CHANDIGARH,REGION - NORTH,HSD/Diesel,2018,192.4170649
DELHI,REGION - NORTH,HSD/Diesel,2018,1020.827298
HARYANA,REGION - NORTH,HSD/Diesel,2018,4847.026069
HIMACHAL PRADESH,REGION - NORTH,HSD/Diesel,2018,646.2491225
JAMMU & KASHMIR,REGION - NORTH,HSD/Diesel,2018,697.0047583
LADAKH,REGION - NORTH,HSD/Diesel,2018,
PUNJAB,REGION - NORTH,HSD/Diesel,2018,3216.730754
RAJASTHAN,REGION - NORTH,HSD/Diesel,2018,5440.437763
UTTAR PRADESH,REGION - NORTH,HSD/Diesel,2018,9453.407403
UTTARAKHAND,REGION - NORTH,HSD/Diesel,2018,762.2449897
ARUNACHAL PRADESH,REGION - NORTH EAST,HSD/Diesel,2018,150.1090392
ASSAM,REGION - NORTH EAST,HSD/Diesel,2018,984.5602791
MANIPUR,REGION - NORTH EAST,HSD/Diesel,2018,115.7930759
MEGHALAYA,REGION - NORTH EAST,HSD/Diesel,2018,343.6653648
MIZORAM,REGION - NORTH EAST,HSD/Diesel,2018,72.6266684
NAGALAND,REGION - NORTH EAST,HSD/Diesel,2018,77.49311305
SIKKIM,REGION - NORTH EAST,HSD/Diesel,2018,77.71122598
TRIPURA,REGION - NORTH EAST,HSD/Diesel,2018,93.56504754
ANDAMAN & NICOBAR,REGION - EAST,HSD/Diesel,2018,149.2459773
BIHAR,REGION - EAST,HSD/Diesel,2018,2441.779565
JHARKHAND,REGION - EAST,HSD/Diesel,2018,1901.405276
ODISHA,REGION - EAST,HSD/Diesel,2018,2613.310039
WEST BENGAL,REGION - EAST,HSD/Diesel,2018,3448.666916
CHHATTISGARH,REGION - WEST,HSD/Diesel,2018,1698.781461
DADRA & NAGAR HAVELI AND DAMAN & DIU,REGION - WEST,HSD/Diesel,2018,291.4333612
GOA,REGION - WEST,HSD/Diesel,2018,315.5425402
GUJARAT,REGION - WEST,HSD/Diesel,2018,5429.911969
MADHYA PRADESH,REGION - WEST,HSD/Diesel,2018,3797.464125
MAHARASHTRA,REGION - WEST,HSD/Diesel,2018,9291.816409
ANDHRA PRADESH,REGION - SOUTH,HSD/Diesel,2018,3947.159611
KARNATAKA,REGION - SOUTH,HSD/Diesel,2018,6904.564178
KERALA,REGION - SOUTH,HSD/Diesel,2018,2575.95389
