STATE/UT,Region,Oil_type,Year,Production
RAJASTHAN,REGION - NORTH,MS/Petrol,2009,615.39555
UTTAR PRADESH,REGION - NORTH,MS/Petrol,2009,1149.17601
UTTARAKHAND,REGION - NORTH,MS/Petrol,2009,142.32735
ARUNACHAL PRADESH,REGION - NORTH EAST,MS/Petrol,2009,18.66815
ASSAM,REGION - NORTH EAST,MS/Petrol,2009,133.12255
MANIPUR,REGION - NORTH EAST,MS/Petrol,2009,23.87722
MEGHALAYA,REGION - NORTH EAST,MS/Petrol,2009,41.9773
MIZORAM,REGION - NORTH EAST,MS/Petrol,2009,13.97942
NAGALAND,REGION - NORTH EAST,MS/Petrol,2009,19.45445
SIKKIM,REGION - NORTH EAST,MS/Petrol,2009,9.89027
TRIPURA,REGION - NORTH EAST,MS/Petrol,2009,22.53535
ANDAMAN & NICOBAR,REGION - EAST,MS/Petrol,2009,9.3102
BIHAR,REGION - EAST,MS/Petrol,2009,231.75937
JHARKHAND,REGION - EAST,MS/Petrol,2009,189.69961
ODISHA,REGION - EAST,MS/Petrol,2009,278.59649
WEST BENGAL,REGION - EAST,MS/Petrol,2009,348.82096
CHHATTISGARH,REGION - WEST,MS/Petrol,2009,208.31724
DADRA & NAGAR HAVELI AND DAMAN & DIU,REGION - WEST,MS/Petrol,2009,25.14949
GOA,REGION - WEST,MS/Petrol,2009,93.56923
GUJARAT,REGION - WEST,MS/Petrol,2009,902.27082
MADHYA PRADESH,REGION - WEST,MS/Petrol,2009,546.87943
MAHARASHTRA,REGION - WEST,MS/Petrol,2009,1773.49328
ANDHRA PRADESH,REGION - SOUTH,MS/Petrol,2009,959.93782
KARNATAKA,REGION - SOUTH,MS/Petrol,2009,860.07264
KERALA,REGION - SOUTH,MS/Petrol,2009,692.97987
LAKSHADWEEP,REGION - SOUTH,MS/Petrol,2009,0
PUDUCHERRY,REGION - SOUTH,MS/Petrol,2009,83.97103
TAMIL NADU,REGION - SOUTH,MS/Petrol,2009,1203.50324
TELANGANA,REGION - SOUTH,MS/Petrol,2009,0
CHANDIGARH,REGION - NORTH,HSD/Diesel,2009,74.84685
DELHI,REGION - NORTH,HSD/Diesel,2009,1093.13184
HARYANA,REGION - NORTH,HSD/Diesel,2009,4310.70871
HIMACHAL PRADESH,REGION - NORTH,HSD/Diesel,2009,405.85008
JAMMU & KASHMIR,REGION - NORTH,HSD/Diesel,2009,487.34193
LADAKH,REGION - NORTH,HSD/Diesel,2009,
PUNJAB,REGION - NORTH,HSD/Diesel,2009,2937.95992
RAJASTHAN,REGION - NORTH,HSD/Diesel,2009,3560.55406
UTTAR PRADESH,REGION - NORTH,HSD/Diesel,2009,5787.71159
UTTARAKHAND,REGION - NORTH,HSD/Diesel,2009,527.78449
ARUNACHAL PRADESH,REGION - NORTH EAST,HSD/Diesel,2009,73.4389
ASSAM,REGION - NORTH EAST,HSD/Diesel,2009,649.35086
MANIPUR,REGION - NORTH EAST,HSD/Diesel,2009,61.37972
MEGHALAYA,REGION - NORTH EAST,HSD/Diesel,2009,258.67927
MIZORAM,REGION - NORTH EAST,HSD/Diesel,2009,38.38195
NAGALAND,REGION - NORTH EAST,HSD/Diesel,2009,34.94338
SIKKIM,REGION - NORTH EAST,HSD/Diesel,2009,46.68869
TRIPURA,REGION - NORTH EAST,HSD/Diesel,2009,70.28873
ANDAMAN & NICOBAR,REGION - EAST,HSD/Diesel,2009,93.23126
BIHAR,REGION - EAST,HSD/Diesel,2009,1663.63423
JHARKHAND,REGION - EAST,HSD/Diesel,2009,1181.15896
ODISHA,REGION - EAST,HSD/Diesel,2009,1618.88115
WEST BENGAL,REGION - EAST,HSD/Diesel,2009,2255.80084
CHHATTISGARH,REGION - WEST,HSD/Diesel,2009,928.71336
DADRA & NAGAR HAVELI AND DAMAN & DIU,REGION - WEST,HSD/Diesel,2009,122.67666
GOA,REGION - WEST,HSD/Diesel,2009,380.56053
